674977	1	[3 4 6 7 9]	2018-04-06 01:07:58
674978	1	[3 5 6 7 9]	2018-04-06 01:12:49
674979	1	[3 4 5 6 7]	2018-04-06 01:18:00
674980	2	[3 4 5 6 7]	2018-04-06 01:22:51
674981	1	[3 4 6 7 9]	2018-04-06 01:27:52
674982	2	[3 4 6 7 9]	2018-04-06 01:32:43
674983	1	[1 5 7 8 9]	2018-04-06 01:37:54
674984	2	[1 5 7 8 9]	2018-04-06 01:42:45
674985	1	[2 3 4 7 8]	2018-04-06 01:47:56
674986	1	[1 2 3 4 10]	2018-04-06 01:52:57
674987	1	[1 4 6 7 10]	2018-04-06 01:57:58
674988	1	[1 2 4 6 10]	2018-04-06 02:02:59
674989	2	[1 2 4 6 10]	2018-04-06 02:07:50
674990	1	[2 3 6 7 9]	2018-04-06 02:12:51
674991	2	[2 3 6 7 9]	2018-04-06 02:17:52
674992	3	[2 3 6 7 9]	2018-04-06 02:23:02
674993	4	[7 9 4 8 2 3 6]	2018-04-06 02:27:43
674994	1	[3 4 6 9 10]	2018-04-06 02:32:53
674995	1	[4 6 8 9 10]	2018-04-06 02:37:54
674996	1	[3 4 5 8 9]	2018-04-06 02:42:45
674997	1	[3 5 6 8 9]	2018-04-06 02:47:45
674998	2	[3 5 6 8 9]	2018-04-06 02:52:46
674999	1	[1 3 4 5 9]	2018-04-06 02:58:06
675000	1	[1 4 5 6 9]	2018-04-06 03:02:57
675001	2	[1 4 5 6 9]	2018-04-06 03:07:48
675002	3	[1 4 5 6 9]	2018-04-06 03:12:48
675003	4	[2 10 1 4 5 6 9]	2018-04-06 03:17:49
675004	5	[2 10 1 4 5 6 9]	2018-04-06 03:22:59
675005	1	[2 5 8 9 10]	2018-04-06 03:27:50
675006	1	[4 7 8 9 10]	2018-04-06 03:32:51
675007	1	[1 4 5 7 8]	2018-04-06 03:38:01
675008	2	[1 4 5 7 8]	2018-04-06 03:42:52
675009	3	[1 4 5 7 8]	2018-04-06 03:47:53
675010	4	[7 8 2 9 1 4 5]	2018-04-06 03:52:43
675011	1	[1 2 5 6 7]	2018-04-06 03:57:54
675012	1	[2 3 6 7 9]	2018-04-06 04:02:44
675013	2	[2 3 6 7 9]	2018-04-06 04:07:55
675014	1	[1 5 7 9 10]	2018-04-06 04:12:46
675015	2	[1 5 7 9 10]	2018-04-06 04:17:46
675016	1	[2 3 5 7 8]	2018-04-06 04:23:07
675017	1	[2 5 7 8 10]	2018-04-06 04:28:08
675018	2	[2 5 7 8 10]	2018-04-06 04:33:18
675019	3	[2 5 7 8 10]	2018-04-06 04:38:19
675020	4	[10 1 9 2 5 7 8]	2018-04-06 04:43:39
675021	1	[1 3 7 8 9]	2018-04-06 04:48:10
675022	2	[1 3 7 8 9]	2018-04-06 04:53:21
675023	3	[1 3 7 8 9]	2018-04-06 04:57:41
675024	1	[1 2 4 7 10]	2018-04-06 05:02:52
675025	2	[1 2 4 7 10]	2018-04-06 05:07:52
675026	3	[1 2 4 7 10]	2018-04-06 05:12:53
675027	1	[4 6 7 8 10]	2018-04-06 05:17:54
675028	2	[4 6 7 8 10]	2018-04-06 05:23:14
675029	3	[4 6 7 8 10]	2018-04-06 05:28:15
675030	1	[1 3 4 5 9]	2018-04-06 05:33:05
675031	1	[2 4 5 7 9]	2018-04-06 05:38:16
675032	2	[2 4 5 7 9]	2018-04-06 05:42:57
675033	1	[1 2 3 7 10]	2018-04-06 05:48:07
675034	1	[1 2 3 4 8]	2018-04-06 05:53:08
675035	1	[1 2 4 6 10]	2018-04-06 05:58:09
675036	2	[1 2 4 6 10]	2018-04-06 06:03:19
675037	1	[2 4 6 7 8]	2018-04-06 06:08:10
675038	2	[2 4 6 7 8]	2018-04-06 06:13:10
675039	3	[2 4 6 7 8]	2018-04-06 06:18:11
675040	1	[1 5 6 9 10]	2018-04-06 06:53:14
675041	2	[1 5 6 9 10]	2018-04-06 06:53:24
675042	3	[1 5 6 9 10]	2018-04-06 06:53:34
675043	1	[2 3 4 8 9]	2018-04-06 06:53:44
675044	1	[3 4 6 7 8]	2018-04-06 06:53:54
675045	1	[3 4 6 7 9]	2018-04-06 06:54:04
675046	2	[3 4 6 7 9]	2018-04-06 06:54:14
675047	3	[3 4 6 7 9]	2018-04-06 06:58:15
